COUNTRY,SEX,AGE,TIME_FORMAT,obsTime,Population,OBS_STATUS,Country.Region,Province.State
AUS,T,T,P1Y,2017,24598933,NA,Australia,
AUT,T,T,P1Y,2017,8772865,NA,Austria,
BEL,T,T,P1Y,2017,11351727,NA,Belarus,
CAN,T,T,P1Y,2017,36447341,NA,Canada,
CZE,T,T,P1Y,2017,10578820,NA,Czech Republic,
DNK,T,T,P1Y,2017,5748769,NA,Denmark,
FIN,T,T,P1Y,2017,5503297,NA,Finland,
FRA,T,T,P1Y,2017,66804121,NA,France,
DEU,T,T,P1Y,2017,82521653,NA,Germany,
GRC,T,T,P1Y,2017,10768193,NA,Greece,
HUN,T,T,P1Y,2017,9797561,NA,Hungary,
ISL,T,T,P1Y,2017,338349,NA,Iceland,
IRL,T,T,P1Y,2017,4784383,NA,Ireland,
ITA,T,T,P1Y,2017,60589445,NA,Italy,
JPN,T,T,P1Y,2017,126932772,NA,Japan,
KOR,T,T,P1Y,2017,51446201,NA,South Korea,
LUX,T,T,P1Y,2017,590667,NA,Luxembourg,
MEX,T,T,P1Y,2017,122273473.3,NA,Mexico,
NLD,T,T,P1Y,2017,17081507,NA,Netherlands,
NZL,T,T,P1Y,2017,4793920,NA,New Zealand,
NOR,T,T,P1Y,2017,5258317,NA,Norway,
POL,T,T,P1Y,2017,37972964,NA,Poland,
PRT,T,T,P1Y,2017,10309573,NA,Portugal,
SVK,T,T,P1Y,2017,5435343,NA,Slovakia,
ESP,T,T,P1Y,2017,46528024,NA,Spain,
SWE,T,T,P1Y,2017,9995153,NA,Sweden,
CHE,T,T,P1Y,2017,8419550,NA,Chile,
TUR,T,T,P1Y,2017,79814871,NA,Turkey,
GBR,T,T,P1Y,2017,65844142,NA,Great Britain,
USA,T,T,P1Y,2017,324076293,NA,US,
BRA,T,T,P1Y,2017,206882729,NA,Brazil,
CHL,T,T,P1Y,2017,18419192,NA,Chile,
COL,T,T,P1Y,2017,49291609,NA,Colombia,
CRI,T,T,P1Y,2017,4947490,NA,Costa Rica,
EST,T,T,P1Y,2017,1315635,NA,Estonia,
ISR,T,T,P1Y,2017,8628589,NA,Israel,
LVA,T,T,P1Y,2017,1950116,NA,Latvia,
LTU,T,T,P1Y,2017,2847904,NA,Lithuania,
RUS,T,T,P1Y,2017,146804372,NA,Russia,
SVN,T,T,P1Y,2017,2065895,NA,Slovenia,
CHN,,,,,1.39E+09,,China,
